train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/loss,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,rollout/exploration_rate
24005,96122,-56.07044342000001,127,0.21379625797271729,756,804,187.76,0.0004,0.5237198198198199
24173,96796,-54.26695914000001,128,0.2363142967224121,754,808,187.77,0.0004,0.5203801801801802
24576,98408,-51.777516000000006,131,0.22875463962554932,750,812,200.06,0.0004,0.5123927927927927
24958,99935,-49.32518411999999,133,0.6530804634094238,745,816,200.93,0.0004,0.5048265765765766
25350,101502,-48.06717339,136,0.4943411350250244,741,820,210.16,0.0004,0.49706216216216215
25763,103154,-46.48383840999999,139,0.22962987422943115,737,824,221.21,0.0004,0.4888765765765767
25927,103810,-45.06617156,141,0.7813174724578857,734,828,221.7,0.0004,0.4856261261261261
26513,106155,-44.71006480000001,146,2.120452642440796,724,832,241.49,0.0004,0.47400675675675685
26830,107424,-47.781946910000016,149,0.3158240020275116,719,836,250.48,0.0004,0.4677189189189189
27372,109589,-50.17938784000002,154,2.6279067993164062,711,840,258.05,0.0004,0.45699144144144144
28015,112161,-50.15972584,159,0.3916574716567993,703,844,278.06,0.0004,0.4442472972972973
28754,115119,-48.97415457,165,1.0000866651535034,695,848,301.29,0.0004,0.4295905405405406
29431,117826,-48.314343660000006,171,0.796576738357544,686,852,323.08,0.0004,0.41617747747747746
30391,121667,-47.29866829,180,0.9897763133049011,675,856,354.38,0.0004,0.3971454954954956
31389,125658,-47.94223911000001,188,4.295266151428223,665,860,387.43,0.0004,0.37737027027027026
31970,127982,-46.58020704,193,1.0704896450042725,660,864,403.75,0.0004,0.365854954954955
32970,131982,-44.22575087,202,1.5436389446258545,652,868,436.69,0.0004,0.34603513513513506
33705,134922,-44.335874170000004,208,0.7114852666854858,648,872,459.93,0.0004,0.33146756756756746
34705,138922,-45.42925276,216,1.819351077079773,641,876,491.97,0.0004,0.3116477477477477
35705,142922,-46.54361057999999,226,1.0783140659332275,631,880,524.43,0.0004,0.291827927927928
36705,146922,-48.79439582999999,238,0.43389344215393066,615,884,559.6,0.0004,0.27200810810810816
37622,150590,-54.77489463,249,0.45741045475006104,604,888,581.68,0.0004,0.25383333333333324
38622,154590,-53.55035230000001,260,1.5436885356903076,592,892,616.49,0.0004,0.23401351351351352
39336,157448,-58.72984677,269,2.152318000793457,584,896,638.34,0.0004,0.21985225225225224
40150,160701,-63.45446679,279,1.400869607925415,575,900,652.57,0.0004,0.20373378378378382
40897,163692,-65.12872965000001,287,0.565045177936554,568,904,675.7,0.0004,0.1889135135135135
41897,167692,-68.78876985000001,299,0.5060561299324036,559,908,708.96,0.0004,0.16909369369369365
42842,171471,-74.2221961,310,0.2632666230201721,551,912,730.63,0.0004,0.15036891891891901
43681,174828,-78.85774787,321,0.8816229104995728,544,916,748.93,0.0004,0.13373513513513513
44681,178828,-83.34444509,334,0.7679936289787292,535,920,773.26,0.0004,0.11391531531531529
45681,182828,-86.70702986999999,347,2.021843910217285,526,924,796.74,0.0004,0.09409549549549556
46681,186828,-90.05398312,360,0.4737217426300049,518,928,830.18,0.0004,0.07427567567567572
47681,190828,-93.40221078,374,3.1859188079833984,510,932,846.73,0.0004,0.054455855855855884
48681,194828,-92.63584049999997,387,2.640906810760498,503,936,874.04,0.0004,0.034636036036036044
49681,198828,-91.80115878999999,400,0.5335284471511841,496,940,892.39,0.0004,0.014816216216216205
