time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/policy_loss,train/n_updates,time/total_timesteps,train/explained_variance,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss
18400,388.6,300,0.0007,-0.0003605639503803104,18399,92000,-4.910462379455566,388.6,306,-0.40691494941711426,1.1645141739791143e-06
18500,388.6,300,0.0007,-9.637920811655931e-06,18499,92500,-7.193722724914551,388.6,308,-0.13453225791454315,8.799834461115097e-08
18600,388.6,300,0.0007,0.00017822085646912456,18599,93000,0.23331713676452637,388.6,309,-0.27721303701400757,1.1435012083893525e-06
18700,388.6,300,0.0007,-0.0004189683240838349,18699,93500,-2.5409581661224365,388.6,311,-0.28368306159973145,1.1401483561712666e-06
18800,388.6,300,0.0007,9.298582881456241e-06,18799,94000,0.9589568972587585,388.6,313,-0.19532787799835205,2.0558946545179424e-08
18900,388.6,299,0.0007,4.722257926914608e-06,18899,94500,0.6161693334579468,388.6,315,-0.09599047899246216,1.1139782429836487e-07
19000,388.6,299,0.0007,3.157553874189034e-05,18999,95000,0.4444919228553772,388.6,316,-0.21966877579689026,2.3281900496385788e-07
19100,388.6,299,0.0007,0.00018462400475982577,19099,95500,0.3681245446205139,388.6,318,-0.2612190246582031,1.957709855560097e-06
19200,388.6,299,0.0007,-0.00015412631910294294,19199,96000,-0.6076661348342896,388.6,320,-0.3394111096858978,6.460119266193942e-07
19300,388.6,299,0.0007,6.738647698512068e-06,19299,96500,0.5047851204872131,388.6,322,-0.10312774032354355,1.1449446901679039e-07
19400,388.6,299,0.0007,-3.312630724394694e-05,19399,97000,0.807536244392395,388.6,323,-0.3103550970554352,3.321329344885271e-08
19500,388.6,299,0.0007,0.00037098999018780887,19499,97500,-0.0805734395980835,388.6,325,-0.189360573887825,1.4775898762309225e-06
19600,388.6,299,0.0007,0.00015175734006334096,19599,98000,-0.10566771030426025,388.6,327,-0.2500004768371582,1.7353216890114709e-06
19700,388.6,299,0.0007,1.3559248145611491e-05,19699,98500,0.20544910430908203,388.6,329,-0.09902597963809967,6.29469298019103e-07
19800,388.6,298,0.0007,1.5987761798896827e-06,19799,99000,0.7658677697181702,388.6,331,-0.022986773401498795,2.5297049432992935e-07
19900,388.6,298,0.0007,0.00015885090397205204,19899,99500,0.6362598538398743,388.6,333,-0.24253760278224945,1.0001706414186629e-06
20000,388.6,298,0.0007,-2.2094627638580278e-06,19999,100000,-4.360552787780762,388.6,334,-0.01771324872970581,6.711343303322792e-07
